Week,Retailer,Sales Gold NZ BL,Sales Gold NZ ZR
19/06/2017,Market 999,102.7988338,102.7988338
19/06/2017,Homeplus 365,22.3148688,22.3148688
19/06/2017,Emart24,0,0
19/06/2017,Mini Stop,0,0
19/06/2017,No Brand,0,0
19/06/2017,CU,0,0
19/06/2017,Shinsegae Department,0,0
19/06/2017,Sampling ,1167.383673,1167.383673
19/06/2017,Loss,0,0
19/06/2017,Wholesale,56410.95918,56410.95918
19/06/2017,E-commerce,8901.708455,8901.708455
19/06/2017,Retail,77672.30855,77672.30855
26/06/2017,Lotte Mart,7865,7865
26/06/2017,Lotte super,2301,2301
26/06/2017,Homeplus,13324,13324
26/06/2017,AK Plaza,327,327
26/06/2017,GS Retail,1628,1628
26/06/2017,Lotte Department,356,356
26/06/2017,GS25,204,204
26/06/2017,Emart everyday,2029.3,2029.3
26/06/2017,CS Distribution,0,0
26/06/2017,Eland,1525,1525
26/06/2017,Emart,17434.3,17434.3
26/06/2017,Emart traders,3263.4,3263.4
26/06/2017,Homeplus Express,3058,3058
26/06/2017,Mega Mart,513,513
26/06/2017,Costco Korea,10603.86364,10603.86364
26/06/2017,VIC Market,400,400
26/06/2017,Hyundae Department,2505,2505
26/06/2017,Market 999,81,81
26/06/2017,Homeplus 365,16,16
26/06/2017,Emart24,0,0
26/06/2017,Mini Stop,0,0
26/06/2017,No Brand,0,0
26/06/2017,CU,0,0
26/06/2017,Shinsegae Department,0,0
26/06/2017,Sampling ,1255.261224,1255.261224
26/06/2017,Loss,0,0
26/06/2017,Wholesale,56248.99708,56248.99708
26/06/2017,E-commerce,3176.390671,3176.390671
26/06/2017,Retail,67433.86364,67433.86364
03/07/2017,Lotte Mart,5366.317784,5366.317784
03/07/2017,Lotte super,1063.335277,1063.335277
03/07/2017,Homeplus,8278.346939,8278.346939
03/07/2017,AK Plaza,249,249
03/07/2017,GS Retail,1005,1005
03/07/2017,Lotte Department,161,161
03/07/2017,GS25,158,158
03/07/2017,Emart everyday,1794.165889,1794.165889
03/07/2017,CS Distribution,0,0
03/07/2017,Eland,1263.236152,1263.236152
03/07/2017,Emart,10409.04606,10409.04606
03/07/2017,Emart traders,3145.331778,3145.331778
03/07/2017,Homeplus Express,925.8163265,925.8163265
03/07/2017,Mega Mart,326.7638484,326.7638484
03/07/2017,Costco Korea,4288.540404,4288.540404
03/07/2017,VIC Market,487,487
03/07/2017,Hyundae Department,2058.746356,2058.746356
03/07/2017,Market 999,54.72303207,54.72303207
03/07/2017,Homeplus 365,12.59475219,12.59475219
03/07/2017,Emart24,0,0
03/07/2017,Mini Stop,0,0
03/07/2017,No Brand,0,0
03/07/2017,CU,0,0
03/07/2017,Shinsegae Department,0,0
03/07/2017,Sampling ,1156.036735,1156.036735
03/07/2017,Loss,0,0
03/07/2017,Wholesale,47461.33528,47461.33528
03/07/2017,E-commerce,1478.504373,1478.504373
03/07/2017,Retail,41046.9646,41046.9646
10/07/2017,Lotte Mart,8051.221574,8051.221574
10/07/2017,Lotte super,1012.434402,1012.434402
10/07/2017,Homeplus,8951.749271,8951.749271
10/07/2017,AK Plaza,355,355
10/07/2017,GS Retail,736,736
10/07/2017,Lotte Department,305,305
10/07/2017,GS25,133,133
10/07/2017,Emart everyday,1205.897376,1205.897376
10/07/2017,CS Distribution,0,0
10/07/2017,Eland,644.0291545,644.0291545
10/07/2017,Emart,20618.17318,20618.17318
10/07/2017,Emart traders,8201.541108,8201.541108
10/07/2017,Homeplus Express,808.851312,808.851312
10/07/2017,Mega Mart,733.0145773,733.0145773
10/07/2017,Costco Korea,9952.616162,9952.616162
10/07/2017,VIC Market,711,711
10/07/2017,Hyundae Department,1728.682216,1728.682216
10/07/2017,Market 999,40.6180758,40.6180758
10/07/2017,Homeplus 365,16.17201166,16.17201166
