Week,Retailer,Sales Green NZ BL,Sales Green NZ ZR
14/08/2017,Homeplus 365,0,0
14/08/2017,Emart24,0,0
14/08/2017,Mini Stop,0,0
14/08/2017,No Brand,0,0
14/08/2017,CU,0,0
14/08/2017,Shinsegae Department,0,0
14/08/2017,Sampling ,597.5142857,597.5142857
14/08/2017,Loss,0,0
14/08/2017,Wholesale,57608.02858,57608.02858
14/08/2017,E-commerce,209,209
14/08/2017,Retail,32389.72856,32389.72856
21/08/2017,Lotte Mart,2892.908571,2892.908571
21/08/2017,Lotte super,1186.297143,1186.297143
21/08/2017,Homeplus,7213.148571,7213.148571
21/08/2017,AK Plaza,35,35
21/08/2017,GS Retail,398,398
21/08/2017,Lotte Department,143,143
21/08/2017,GS25,0,0
21/08/2017,Emart everyday,550.0342857,550.0342857
21/08/2017,CS Distribution,0,0
21/08/2017,Eland,426.5942857,426.5942857
21/08/2017,Emart,8132.071429,8132.071429
21/08/2017,Emart traders,1868.7,1868.7
21/08/2017,Homeplus Express,1767.914286,1767.914286
21/08/2017,Mega Mart,84.13714286,84.13714286
21/08/2017,Costco Korea,4219.090909,4219.090909
21/08/2017,VIC Market,334,334
21/08/2017,Hyundae Department,182.9771429,182.9771429
21/08/2017,Market 999,45.01714286,45.01714286
21/08/2017,Homeplus 365,0,0
21/08/2017,Emart24,0,0
21/08/2017,Mini Stop,0,0
21/08/2017,No Brand,0,0
21/08/2017,CU,0,0
21/08/2017,Shinsegae Department,0,0
21/08/2017,Sampling ,625.8,625.8
21/08/2017,Loss,0,0
21/08/2017,Wholesale,53372.26,53372.26
21/08/2017,E-commerce,186,186
21/08/2017,Retail,29478.89091,29478.89091
28/08/2017,Lotte Mart,3060.457143,3060.457143
28/08/2017,Lotte super,664.1714286,664.1714286
28/08/2017,Homeplus,8637.742857,8637.742857
28/08/2017,AK Plaza,19,19
28/08/2017,GS Retail,1602,1602
28/08/2017,Lotte Department,470,470
28/08/2017,GS25,0,0
28/08/2017,Emart everyday,998.5,998.5
28/08/2017,CS Distribution,0,0
28/08/2017,Eland,350.7428571,350.7428571
28/08/2017,Emart,10656.64,10656.64
28/08/2017,Emart traders,2887.971429,2887.971429
28/08/2017,Homeplus Express,1549.371429,1549.371429
