Table,Year,Month,Week,Year_Week,Year_Month,Row_Title,Full_Title,Title_Core,Title_Type,Value,Title_Type Tagging
Table253,2019,5,19,2019_19,2019_05,S.D,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.79,By Brand
Table253,2019,5,19,2019_19,2019_05,S.E,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.28,By Brand
Table253,2019,5,20,2019_20,2019_05,Base,(BP5) Price  (SA)  Bonita           ,Price,Bonita,101.0,By Brand
Table253,2019,5,20,2019_20,2019_05,(10) Cost the most,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,5,20,2019_20,2019_05,(9) 9,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,5,20,2019_20,2019_05,(8) 8,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,5,20,2019_20,2019_05,(7) 7,(BP5) Price  (SA)  Bonita           ,Price,Bonita,5.0,By Brand
Table253,2019,5,20,2019_20,2019_05,(6) 6,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,5,20,2019_20,2019_05,(5) 5,(BP5) Price  (SA)  Bonita           ,Price,Bonita,10.9,By Brand
Table253,2019,5,20,2019_20,2019_05,(4) 4,(BP5) Price  (SA)  Bonita           ,Price,Bonita,4.0,By Brand
Table253,2019,5,20,2019_20,2019_05,(3) 3,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,5,20,2019_20,2019_05,(2) 2,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,20,2019_20,2019_05,(1) 1,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,20,2019_20,2019_05,(0) Cost the least,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,5,20,2019_20,2019_05,Not Answer,(BP5) Price  (SA)  Bonita           ,Price,Bonita,71.3,By Brand
Table253,2019,5,20,2019_20,2019_05,Top 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,5,20,2019_20,2019_05,Top 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,5,20,2019_20,2019_05,Top 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,10.9,By Brand
Table253,2019,5,20,2019_20,2019_05,Bottom 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,6.9,By Brand
Table253,2019,5,20,2019_20,2019_05,Bottom 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,5,20,2019_20,2019_05,Bottom 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,5,20,2019_20,2019_05,Mean,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.55,By Brand
Table253,2019,5,20,2019_20,2019_05,S.D,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.67,By Brand
Table253,2019,5,20,2019_20,2019_05,S.E,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.27,By Brand
Table253,2019,5,21,2019_21,2019_05,Base,(BP5) Price  (SA)  Bonita           ,Price,Bonita,101.0,By Brand
Table253,2019,5,21,2019_21,2019_05,(10) Cost the most,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,21,2019_21,2019_05,(9) 9,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,21,2019_21,2019_05,(8) 8,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,5,21,2019_21,2019_05,(7) 7,(BP5) Price  (SA)  Bonita           ,Price,Bonita,4.0,By Brand
Table253,2019,5,21,2019_21,2019_05,(6) 6,(BP5) Price  (SA)  Bonita           ,Price,Bonita,5.9,By Brand
Table253,2019,5,21,2019_21,2019_05,(5) 5,(BP5) Price  (SA)  Bonita           ,Price,Bonita,10.9,By Brand
Table253,2019,5,21,2019_21,2019_05,(4) 4,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,5,21,2019_21,2019_05,(3) 3,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,5,21,2019_21,2019_05,(2) 2,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,21,2019_21,2019_05,(1) 1,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,5,21,2019_21,2019_05,(0) Cost the least,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,21,2019_21,2019_05,Not Answer,(BP5) Price  (SA)  Bonita           ,Price,Bonita,70.3,By Brand
Table253,2019,5,21,2019_21,2019_05,Top 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,5,21,2019_21,2019_05,Top 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,5,21,2019_21,2019_05,Top 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,12.9,By Brand
Table253,2019,5,21,2019_21,2019_05,Bottom 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,5.9,By Brand
Table253,2019,5,21,2019_21,2019_05,Bottom 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,5,21,2019_21,2019_05,Bottom 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,5,21,2019_21,2019_05,Mean,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.57,By Brand
Table253,2019,5,21,2019_21,2019_05,S.D,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.61,By Brand
Table253,2019,5,21,2019_21,2019_05,S.E,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.26,By Brand
Table253,2019,6,26,2019_26,2019_06,Base,(BP5) Price  (SA)  Bonita           ,Price,Bonita,100.0,By Brand
Table253,2019,6,26,2019_26,2019_06,(10) Cost the most,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,6,26,2019_26,2019_06,(9) 9,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,6,26,2019_26,2019_06,(8) 8,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,6,26,2019_26,2019_06,(7) 7,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
